INSTNM	LOCALE	LATITUDE	LONGITUDE
University of Arkansas at Little Rock	12	34.7266	-92.3418
University of Arkansas for Medical Sciences	12	34.7497	-92.3209
ABC Beauty College Inc	32	34.1223	-93.0816
Arkansas Baptist College	12	34.7348	-92.2906
Arkansas Beauty School	12	34.6691	-92.3348
Arkansas Beauty College	33	35.2786	-93.1352
Lyon College	33	35.7789	-91.6281
Arkansas College of Barbering and Hair Design	13	34.7536	-92.2663
Arthur's Beauty College Inc-Fort Smith	13	35.38	-94.411
University of Arkansas	13	36.0615	-94.1782
University of Arkansas at Pine Bluff	13	34.2422	-92.0213
Arkansas State University-Beebe	31	35.0745	-91.8962
Arkansas State University-Main Campus	13	35.8428	-90.6805
Arkansas Tech University	33	35.2952	-93.1323
University of Arkansas at Monticello	33	33.5898	-91.813
Arthur's Beauty College Inc-Jacksonville	21	34.8918	-92.1023
Baptist Health Schools-Little Rock	12	34.7131	-92.4069
Black River Technical College	41	36.2398	-90.951
University of Central Arkansas	13	35.0782	-92.4593
Central Baptist College	13	35.0846	-92.4441
Cossatot Community College of the University of Arkansas	41	34.0434	-94.3673
Crowley's Ridge College	41	36.0662	-90.5848
Crowley's Ridge Technical Institute	32	35.0419	-90.7678
East Arkansas Community College	32	35.0397	-90.7674
Eastern College of Health Vocations-Little Rock	12	34.7511	-92.3412
Imagine-Paul Mitchell Partner School	13	34.7913	-92.2213
National Park Community College	23	34.5127	-93.1171
University of Arkansas Community College-Batesville	33	35.7929	-91.6161
Harding University	32	35.2496	-91.729
Henderson State University	32	34.1278	-93.0603
Hendrix College	13	35.0997	-92.442
Hot Springs Beauty College	13	34.4963	-93.0384
Jefferson Regional Medical Center School of Nursing	13	34.1878	-92.018
John Brown University	32	36.1911	-94.5591
Lees School of Cosmetology	13	34.782	-92.2967
Career Academy of Hair Design	13	36.1676	-94.1318
Marsha Kay Beauty College	33	36.3447	-92.386
Academy of Salon and Spa	13	35.3809	-94.4163
Mid-South Community College	21	35.1457	-90.2229
Arkansas Northeastern College	41	35.8974	-89.9225
Margaret's Hair Academy Inc	33	33.6292	-91.7887
New Tyler Barber College Inc	13	34.7591	-92.2541
North Arkansas College	33	36.2205	-93.0873
Northwest Technical Institute	13	36.1786	-94.1164
Ouachita Baptist University	32	34.125	-93.0524
College of the Ouachitas	31	34.3787	-92.8214
Ozarka College	43	36.053	-91.8964
University of the Ozarks	33	35.4778	-93.4679
University of Arkansas Community College-Morrilton	32	35.1721	-92.7285
Philander Smith College	12	34.7367	-92.2824
Phillips Community College of the University of Arkansas	41	34.545	-90.6177
Southeast Arkansas College	13	34.2098	-92.0247
Professional Cosmetology Education Center	33	33.2151	-92.6631
Pulaski Technical College	13	34.7824	-92.2997
University of Arkansas Community College-Hope	32	33.6479	-93.5845
Rich Mountain Community College	33	34.5908	-94.2197
Paul Mitchell the School-Arkansas	13	36.0787	-94.1565
Searcy Beauty College Inc	32	35.2377	-91.7345
Shorter College	13	NULL	NULL
Williams Baptist College	42	36.1268	-90.9399
South Arkansas Community College	33	33.2094	-92.6661
Southern Arkansas University Main Campus	33	33.2912	-93.2351
Southern Arkansas University Tech	42	33.6039	-92.839
Velvatex College of Beauty Culture	12	34.7357	-92.2898
University of Arkansas-Fort Smith	13	35.3853	-94.3741
Academy of Art University	11	37.7877	-122.4007
ITT Technical Institute-Rancho Cordova	13	38.5917	-121.2815
Academy of Chinese Culture and Health Sciences	11	37.8067	-122.2727
The Academy of Radio and TV Broadcasting	21	33.7289	-117.9877
Avalon School of Cosmetology-Alameda	21	37.7642	-122.2436
College of Alameda	21	37.7824	-122.2793
Allan Hancock College	12	34.943	-120.4215
American Academy of Dramatic Arts-Los Angeles	11	34.0953	-118.3441
American Baptist Seminary of the West	12	37.8653	-122.2561
American Film Institute Conservatory	11	34.1085	-118.31
American Beauty College	21	33.8844	-118.125
American Career College-Los Angeles	11	34.0792	-118.2923
American Conservatory Theater	11	37.7873	-122.4049
American River College	21	38.6497	-121.346
Everest College-Hayward	12	37.6754	-122.0848
Antelope Valley College	21	34.6762	-118.1862
Art Center College of Design	12	34.1708	-118.1869
Associated Technical College-Los Angeles	11	34.056	-118.2724
Associated Technical College-San Diego	11	32.7157	-117.1582
Azusa Pacific University	21	34.1309	-117.888
Bakersfield College	11	35.4108	-118.9735
Barstow Community College	32	34.8715	-117.0252
Bellus Academy-National City	21	32.6768	-117.0902
Bethesda University of California	11	33.8423	-117.9413
Biola University	21	33.9048	-118.0173
Brooks Institute	13	34.4186	-119.696
Brownson Technical School	11	33.819	-117.9064
Bryan University	11	34.0614	-118.3029
Butte College	42	39.6491	-121.6447
Phillips Graduate Institute	11	34.2427	-118.5677
California Institute of Integral Studies	11	37.7748	-122.4165
Cabrillo College	22	36.9891	-121.9279
California Baptist University	11	33.9286	-117.4259
California College of the Arts	11	37.8357	-122.2514
University of California-Hastings College of Law	11	37.7807	-122.4154
California Institute of Technology	12	34.1393	-118.1257
California Lutheran University	12	34.2256	-118.8795
California Polytechnic State University-San Luis Obispo	23	35.2989	-120.6586
Alliant International University	11	32.8971	-117.0944
California State University-Bakersfield	11	35.35	-119.1047
California State University-Stanislaus	23	37.5258	-120.8525
California State University-San Bernardino	12	34.183	-117.3225
California State Polytechnic University-Pomona	21	34.0543	-117.819
California State University-Chico	13	39.728	-121.8463
California State University-Dominguez Hills	13	33.8652	-118.2593
California State University-Fresno	11	36.8145	-119.7483
California State University-Fullerton	21	33.8836	-117.8853
California State University-East Bay	12	37.6571	-122.0581
California State University-Long Beach	11	33.7828	-118.1123
California State University-Los Angeles	11	34.0669	-118.169
