INSTNM	LOCALE	LATITUDE	LONGITUDE
Lasell College	13	42.3427	-71.2437
Lawrence Memorial Hospital School of Nursing	21	42.4256	-71.1108
Lesley University	12	42.3784	-71.1156
Lowell Academy Hairstyling Institute	21	42.6437	-71.3081
University of Massachusetts-Lowell	21	42.6537	-71.3251
Mansfield Beauty Schools-Springfield	12	42.1037	-72.5915
Mansfield Beauty Schools-Quincy	21	42.2452	-71.0032
Marian Court College	21	42.4697	-70.8919
University of Massachusetts-Amherst	21	42.391	-72.5274
University of Massachusetts-Boston	11	42.3145	-71.0387
Massachusetts Bay Community College	21	42.3127	-71.264
MCPHS University	11	42.337	-71.101
Massachusetts College of Art and Design	11	42.3369	-71.0995
Massachusetts Institute of Technology	12	42.3601	-71.0921
Massachusetts Maritime Academy	22	41.7405	-70.624
University of Massachusetts Medical School Worcester	12	42.2776	-71.7607
Massachusetts School of Professional Psychology	13	42.278	-71.1796
Massachusetts School of Barbering	21	42.247	-71.001
Massasoit Community College	21	42.076	-70.9889
Merrimack College	21	42.6684	-71.1242
MGH Institute of Health Professions	11	42.3736	-71.0565
Middlesex Community College	21	42.5251	-71.274
Montserrat College of Art	21	42.5504	-70.8764
Mount Holyoke College	21	42.2576	-72.5736
Mount Ida College	13	42.2932	-71.1947
Mount Wachusett Community College	41	42.5932	-71.9841
Cortiva Institute-Boston	21	42.3617	-71.1907
School of the Museum of Fine Arts-Boston	11	42.339	-71.0969
Everest Institute-Brighton	11	42.3471	-71.1414
Rob Roy Academy-New Bedford	22	41.6719	-70.9252
The New England Conservatory of Music	11	42.341	-71.0863
New England College of Optometry	11	42.3517	-71.0865
New England School of Acupuncture	13	42.3637	-71.1949
New England School of Law	11	42.3508	-71.0665
New England School of Photography	11	42.3492	-71.097
Newbury College	21	42.331	-71.1421
Nichols College	21	42.0425	-71.9296
Massachusetts College of Liberal Arts	31	42.6924	-73.1035
North Bennet Street School	11	42.3658	-71.0549
North Shore Community College	21	42.5973	-70.9683
The New England Institute of Art	21	42.3321	-71.1157
Northeastern University	11	42.34	-71.0888
Northern Essex Community College	21	42.7961	-71.0475
College of Our Lady of the Elms	21	42.1418	-72.6015
Pine Manor College	21	42.3196	-71.157
Blessed John XXIII National Seminary	21	42.3455	-71.2717
Quincy College	21	42.253	-71.0033
Quinsigamond Community College	12	42.3147	-71.7936
Regis College	21	42.3511	-71.3091
Roxbury Community College	11	42.3297	-71.0954
Saint John's Seminary	11	42.3441	-71.162
Salem State University	21	42.5029	-70.8893
Salter College-West Boylston	21	42.3507	-71.7879
Simmons College	11	42.3393	-71.1
Bard College at Simon's Rock	41	42.2092	-73.38
Smith College	21	42.3179	-72.6381
Southeastern Technical Institute	21	42.0113	-71.0813
Springfield College	12	42.105	-72.5557
Springfield Technical Community College	12	42.1084	-72.5816
University of Massachusetts-Dartmouth	22	41.6289	-71.0055
Stonehill College	21	42.0614	-71.0781
Suffolk University	11	42.3591	-71.0618
Rob Roy Academy-Taunton	21	41.9019	-71.0919
Tufts University	21	42.406	-71.1206
Wellesley College	21	42.2938	-71.308
Wentworth Institute of Technology	11	42.3366	-71.095
Western New England University	12	42.1158	-72.5188
Westfield State University	21	42.1316	-72.7957
Wheaton College	21	41.9668	-71.1842
Wheelock College	11	42.3425	-71.1058
Williams College	31	42.7117	-73.2059
Worcester Polytechnic Institute	12	42.2751	-71.8088
Worcester State University	12	42.2675	-71.844
Adrian College	32	41.8984	-84.0599
Albion College	31	42.2446	-84.7461
Hillsdale Beauty College	32	41.9191	-84.6316
Northwestern Technological Institute	13	42.4693	-83.2384
Alma College	32	43.3792	-84.6701
Alpena Community College	41	45.0816	-83.4451
Andrews University	31	41.9633	-86.3559
Aquinas College	12	42.9604	-85.6262
Baker College of Owosso	32	42.987	-84.1709
Baker College of Flint	21	42.9748	-83.6947
Bay de Noc Community College	33	45.7697	-87.0807
Bayshire Academy of Beauty Craft Inc	13	43.5995	-83.8891
Cadillac Institute of Cosmetology	33	NULL	NULL
Calvin College	12	42.9299	-85.5875
Calvin Theological Seminary	12	42.9299	-85.5874
Carnegie Institute	13	42.5389	-83.1188
Michigan School of Professional Psychology	13	42.4914	-83.3596
Central Michigan University	32	43.6109	-84.7767
Mott Community College	12	43.0199	-83.6724
Empire Beauty School-Michigan	21	43.0294	-85.6262
Cleary University	12	42.3056	-83.6909
Concordia University-Ann Arbor	12	42.2747	-83.6827
Cranbrook Academy of Art	21	42.5687	-83.2512
College for Creative Studies	11	42.3618	-83.0624
Davenport University	21	42.8497	-85.5297
David Pressley School of Cosmetology	21	42.4797	-83.146
Delta College	41	43.5595	-83.9859
Detroit Business Institute-Downriver	21	42.17	-83.1892
Michigan State University-College of Law	13	42.7257	-84.4735
MIAT College of Technology	21	42.2857	-83.4472
University of Detroit Mercy	11	42.4172	-83.1384
Dorsey Business Schools-Madison Heights	21	42.5192	-83.1112
Dorsey Business Schools-Southgate	21	42.2132	-83.216
Eastern Michigan University	21	42.2479	-83.6271
Ferris State University	33	43.6875	-85.4835
Flint Institute of Barbering Inc	12	43.0264	-83.7386
Glen Oaks Community College	42	41.8925	-85.4969
Kettering University	12	43.0131	-83.7144
Gogebic Community College	41	46.4719	-90.1656
Grace Bible College	13	42.9195	-85.6921
Cornerstone University	12	42.979	-85.5956
Everest Institute-Grand Rapids	21	43.0352	-85.6265
Grand Rapids Community College	12	42.9664	-85.6666
Grand Valley State University	21	42.9652	-85.8875
Great Lakes Christian College	21	42.7542	-84.6387
Henry Ford Community College	13	42.3246	-83.2384
Hope College	13	42.7881	-86.1054
ITT Technical Institute-Wyoming	13	42.8548	-85.7145
Jackson College	41	42.1648	-84.4039
Wright Beauty Academy	13	42.2204	-85.5754
Kalamazoo College	13	42.2904	-85.6013
Kalamazoo Valley Community College	22	42.2259	-85.6821
Kellogg Community College	13	42.3355	-85.1773
Kirtland Community College	43	44.4908	-84.4134
Michigan College of Beauty-Monroe	23	41.9077	-83.4051
Lake Michigan College	41	42.0973	-86.3934
Lake Superior State University	33	46.4917	-84.3655
Lansing Community College	12	42.7391	-84.5522
Lawrence Technological University	13	42.4741	-83.25
M J Murphy Beauty College of Mount Pleasant	32	43.6049	-84.7794
Macomb Community College	12	42.507	-82.9737
Madonna University	13	42.3865	-83.4073
Marygrove College	11	42.4144	-83.1541
Rochester College	21	42.6675	-83.145
University of Michigan-Ann Arbor	12	42.2761	-83.7431
Michigan Barber School Inc	11	42.3337	-83.0496
Michigan State University	13	42.7248	-84.4736
Michigan Technological University	33	47.1183	-88.5464
University of Michigan-Dearborn	13	42.3173	-83.2314
University of Michigan-Flint	12	43.0188	-83.6885
Mid Michigan Community College	41	43.9696	-84.7637
Monroe County Community College	41	41.9162	-83.4703
Montcalm Community College	42	43.2521	-85.0997
Mr Bela's School of Cosmetology Inc	12	42.5061	-83.0505
Baker College of Muskegon	13	43.2441	-86.1967
Muskegon Community College	13	43.2503	-86.1964
Everest College-Skokie	13	42.0599	-87.7607
Everest Institute-Southfield	13	42.4475	-83.2605
North Central Michigan College	41	45.3605	-84.9527
Northern Michigan University	33	46.558	-87.4039
Paul Mitchell the School-Escanaba	33	45.7668	-87.0695
Northwestern Michigan College	33	44.7676	-85.5818
Northwood University-Michigan	13	43.629	-84.2763
Oakland Community College	21	42.6205	-83.4304
Oakland University	21	42.6725	-83.2189
Olivet College	42	42.4409	-84.9229
Port Huron Cosmetology College	21	42.7007	-83.3986
Kuyper College	21	43.022	-85.5927
Ross Medical Education Center-Lansing	21	42.7419	-84.6058
Ross Medical Education Center-Madison Heights	21	42.5082	-83.1077
Ross Medical Education Center-Flint	21	43.0166	-83.7499
Sacred Heart Major Seminary	11	42.3752	-83.1117
Saginaw Valley State University	41	43.5519	-83.9643
Schoolcraft College	13	42.4193	-83.431
Siena Heights University	32	41.906	-84.0151
St Clair County Community College	23	42.9795	-82.4287
Southwestern Michigan College	41	41.9652	-86.0829
Specs Howard School of Media Arts	13	42.4592	-83.2393
Spring Arbor University	23	42.2062	-84.5519
Michigan Career and Technical Institute	42	42.5081	-85.5207
Finlandia University	33	47.1271	-88.5894
Thomas M Cooley Law Schoo	12	42.731	-84.5544
Twin City Beauty College	23	42.0721	-86.4776
Walsh College of Accountancy and Business Administration	13	42.5739	-83.1472
Washtenaw Community College	21	42.2633	-83.6649
Wayne County Community College District	11	42.3265	-83.0555
Wayne State University	11	42.3586	-83.0729
West Shore Community College	42	44.0089	-86.3375
Western Michigan University	13	42.2826	-85.6151
Western Theological Seminary	13	42.7862	-86.1019
Wright Beauty Academy	13	42.3082	-85.1966
Academy College	13	44.8615	-93.2594
Alexandria Technical & Community College	41	45.8686	-95.3716
American Indian OIC Inc	11	44.962	-93.2462
Anoka Technical College	21	45.2163	-93.416
Anoka-Ramsey Community College	21	45.173	-93.3517
Augsburg College	11	44.9656	-93.2414
Riverland Community College	32	43.6768	-93.0011
Northwest Technical College	33	47.4527	-94.854
Bemidji State University	33	47.4825	-94.8745
Bethany Lutheran College	13	44.1665	-93.9907
Bethel University	21	45.0571	-93.1593
Bethel Seminary-St Paul	21	45.0588	-93.1598
Central Lakes College-Brainerd	33	46.346	-94.2152
Carleton College	32	44.4623	-93.1547
Concordia College at Moorhead	22	46.8594	-96.7656
Concordia University-Saint Paul	11	44.9498	-93.1549
Dakota County Technical College	41	44.7389	-93.0793
Martin Luther College	32	44.3046	-94.4734
Lake Superior College	13	46.7847	-92.1453
Cosmetology Careers Unlimited College of Hair Skin and Nails	13	46.7857	-92.0997
Duluth Business University	13	46.7429	-92.1574
Minnesota State Community and Technical College	33	46.2881	-96.097
Globe University-Woodbury	21	44.9467	-92.9411
Minnesota West Community and Technical College	33	44.8076	-95.5617
Gustavus Adolphus College	31	44.325	-93.9719
Hamline University	11	44.9657	-93.164
Hazelden Graduate School of Addiction Studies	41	45.3779	-92.7967
Hennepin Technical College	21	45.0965	-93.3978
Cosmetology Careers Unlimited College of Hair Skin and Nails	33	47.4199	-92.9235
Hibbing Community College	33	47.4223	-92.9211
Aveda Institute-Minneapolis	11	44.9879	-93.2537
Inver Hills Community College	21	44.8284	-93.0546
Itasca Community College	33	47.2425	-93.4945
The Art Institutes International-Minnesota	11	44.9759	-93.2765
Luther Seminary	11	44.9848	-93.1968
Macalester College	11	44.9367	-93.1699
South Central College	13	44.1743	-94.0474
Minnesota State University-Mankato	13	44.1473	-93.9985
Regency Beauty Institute-Blaine	21	45.1325	-93.2662
Mayo Medical School	12	44.0208	-92.4664
Mayo School of Health Sciences	12	44.0228	-92.4666
Argosy University-Twin Cities	13	44.8373	-93.1739
Mesabi Range Community and Technical College	33	47.5246	-92.5491
Metropolitan State University	11	44.957	-93.0742
University of Minnesota-Twin Cities	11	44.9779	-93.2354
University of Minnesota-Crookston	32	47.802	-96.6099
Minneapolis Business College	21	45.0053	-93.1734
Minneapolis College of Art and Design	11	44.957	-93.2747
Minneapolis Community and Technical College	11	44.9727	-93.2845
Herzing University-Minneapolis	21	45.0563	-93.3665
Minnesota School of Cosmetology-Woodbury Campus	21	44.9251	-92.9739
Crossroads College	12	43.9971	-92.4763
University of Minnesota-Duluth	13	46.8189	-92.0852
University of Minnesota-Morris	33	45.5898	-95.9018
Minnesota School of Business-Richfield	21	44.8654	-93.2974
Model College of Hair Design	13	45.5585	-94.1592
Minnesota State University-Moorhead	22	46.8665	-96.7634
North Hennepin Community College	21	45.1074	-93.3737
National American University-Roseville	21	45.0097	-93.1705
Brown College-Mendota Heights	21	44.8656	-93.1606
Normandale Community College	13	44.8297	-93.3317
North Central University	11	44.9694	-93.2614
Northland Community and Technical College	33	48.125	-96.1624
Northwest Technical Institute	13	44.8601	-93.1351
University of Northwestern-St Paul	21	45.033	-93.1716
Northwestern Health Sciences University	13	44.851	-93.3112
Oak Hills Christian College	33	47.4258	-94.9017
Regency Beauty Institute-Burnsville	21	44.7442	-93.289
Pine Technical College	33	45.8088	-92.9685
Rainy River Community College	33	48.5943	-93.4267
Rochester Community and Technical College	12	44.0162	-92.4235
College of Saint Benedict	22	45.5586	-94.319
St Cloud Technical and Community College	13	45.5803	-94.1769
Regency Beauty Institute-St Cloud	22	45.5486	-94.2163
Saint Cloud State University	13	45.5524	-94.153
Saint Johns University	41	45.5814	-94.3919
Saint Mary's University of Minnesota	32	44.0453	-91.6967
St Olaf College	32	44.4629	-93.1836
Crown College	41	44.8854	-93.743
The College of Saint Scholastica	13	46.8154	-92.1057
University of St Thomas	11	44.9417	-93.1894
Empire Beauty School-Bloomington	13	44.8275	-93.2874
St Catherine University	11	44.9245	-93.1819
Rasmussen College-Minnesota	13	45.5566	-94.2091
Saint Paul College	11	44.9492	-93.1097
Southwest Minnesota State University	33	44.455	-95.7598
Summit Academy Opportunities Industrialization Center	11	44.9833	-93.2952
United Theological Seminary of the Twin Cities	21	45.0571	-93.225
Vermilion Community College	33	47.9052	-91.8379
Dunwoody College of Technology	11	44.9731	-93.2901
Ridgewater College	33	45.1383	-95.0731
Minnesota State College-Southeast Technical	32	44.0246	-91.6183
Winona State University	32	44.0466	-91.6445
William Mitchell College of Law	11	44.9421	-93.1377
Century College	21	45.0418	-92.9821
Alcorn State University	43	31.8772	-91.1429
Belhaven University	12	32.3184	-90.1692
Blue Mountain College	42	34.6721	-89.0292
Chris Beauty College	13	30.3836	-89.0771
Coahoma Community College	41	34.2556	-90.5703
Antonelli College-Jackson	41	32.3289	-90.123
Copiah-Lincoln Community College	42	31.6901	-90.3991
Creations College of Cosmetology	33	34.2561	-88.7421
Delta Beauty College	33	33.3738	-91.0452
Delta State University	33	33.7439	-90.7344
East Central Community College	42	32.4406	-89.1128
East Mississippi Community College	43	32.8302	-88.4835
Fosters Cosmetology College	41	34.7594	-88.9398
Academy of Hair Design-Grenada	33	33.7515	-89.805
Hinds Community College	31	32.2581	-90.4161
Holmes Community College	42	32.97	-89.9158
Itawamba Community College	33	34.2763	-88.4129
Jackson State University	12	32.2968	-90.2066
Jones County Junior College	32	31.5972	-89.1997
Meridian Community College	33	32.3681	-88.7336
Millsaps College	12	32.3231	-90.1781
Mississippi Delta Community College	33	33.4449	-90.5021
University of Mississippi	33	34.3621	-89.5394
University of Mississippi Medical Center	12	32.3321	-90.1717
Mississippi University for Women	33	33.4933	-88.4186
Mississippi Valley State University	33	33.5141	-90.3413
Mississippi College	21	32.3346	-90.3305
Mississippi College of Beauty Culture	32	31.6938	-89.1346
Mississippi Gulf Coast Community College	42	30.7793	-89.1443
Mississippi State University	33	33.425	-88.8797
Northeast Mississippi Community College	33	34.6678	-88.563
Northwest Mississippi Community College	32	34.6227	-89.9714
Pearl River Community College	43	30.8468	-89.546
Rust College	32	34.7769	-89.447
Southeastern Baptist College	32	31.7485	-89.1494
Southwest Mississippi Community College	41	31.2962	-90.4428
University of Southern Mississippi	13	31.3275	-89.3379
Magnolia College of Cosmetology	12	32.3596	-90.1518
Tougaloo College	12	32.4027	-90.1594
Wesley Biblical Seminary	12	32.355	-90.1594
William Carey University	13	31.3053	-89.2918
Anthem College-Maryland Heights	41	38.7552	-90.4652
Aquinas Institute of Theology	11	38.635	-90.2374
Assemblies of God Theological Seminary	12	37.2244	-93.2615
Avila University	11	38.9122	-94.5914
ITT Technical Institute-Earth City	21	38.758	-90.4612
Baptist Bible College	12	37.2397	-93.2854
House of Heavilin Beauty College-Blue Springs	21	38.9999	-94.2738
Cox College	12	37.2251	-93.2902
Calvary Bible College and Theological Seminary	11	38.8382	-94.5462
Cape Girardeau Career and Technology Center	13	37.2741	-89.5653
Central Christian College of the Bible	32	39.396	-92.4273
Central Methodist University-College of Liberal Arts and Sciences	32	39.1505	-92.6853
University of Central Missouri	32	38.8005	-93.7148
Grand River Technical School	33	39.7989	-93.5597
Chillicothe Beauty Academy Inc	33	39.7928	-93.5511
Cleveland University-Kansas City	12	38.932	-94.6791
Columbia Area Career Center	12	38.9037	-92.3367
Columbia College	12	38.9579	-92.3265
Conception Seminary College	42	40.2404	-94.6828
Concordia Seminary	21	38.6382	-90.312
Cottey College	33	37.8361	-94.3713
Covenant Theological Seminary	21	38.6431	-90.4513
Crowder College	32	36.8117	-94.3632
Culver-Stockton College	43	40.1301	-91.5267
Drury University	12	37.2198	-93.2858
East Central College	41	38.4303	-90.9755
Eden Theological Seminary	21	38.5923	-90.3456
Elaine Steven Beauty College	21	38.7614	-90.2786
Pinnacle Career Institute-South Kansas City	11	38.9421	-94.5797
Evangel University	12	37.221	-93.2626
Fontbonne University	21	38.6427	-90.3157
Forest Institute of Professional Psychology	12	37.1899	-93.2937
Four Rivers Career Center	32	38.5477	-91.0209
Ozarks Technical Community College	12	37.2165	-93.28
Hannibal-LaGrange University	33	39.7308	-91.3914
Harris-Stowe State University	11	38.6317	-90.2243
Hickey College	21	38.7013	-90.4476
House of Heavilin Beauty College-Kansas City	11	39.0231	-94.574
Independence College of Cosmetology	21	39.0795	-94.4258
Jefferson College	41	38.2599	-90.559
Cosmetology Concepts Institute	12	38.9692	-92.3104
Barnes-Jewish College Goldfarb School of Nursing	11	38.6369	-90.2606
Kansas City Art Institute	11	39.0464	-94.5836
Kenrick Glennon Seminary	21	38.5846	-90.324
A T Still University of Health Sciences	33	40.1936	-92.5892
Lake Career and Technical Center	41	38.008	-92.738
Lex La-Ray Technical Center	32	39.1742	-93.8674
Lincoln University	13	38.5644	-92.1685
Lindenwood University	13	38.7882	-90.5028
Linn State Technical College	42	38.4683	-91.8113
Logan University	21	38.6313	-90.5423
Metropolitan Community College-Kansas City	11	38.9101	-94.451
Lutheran School of Nursing	11	38.5906	-90.226
Maryville University of Saint Louis	21	38.6455	-90.5051
Merrell University of Beauty Arts and Science	13	38.571	-92.1994
Metro Business College-Cape Girardeau	13	37.3272	-89.5652
Midwest Institute	21	38.5435	-90.4648
Midwestern Baptist Theological Seminary	11	39.1857	-94.5732
Mineral Area College	32	37.8456	-90.4827
Westwood College-O'Hare Airport	11	41.9861	-87.8388
Missouri Baptist University	21	38.642	-90.4626
National Academy of Beauty Arts-Farmington	32	37.7879	-90.4342
Missouri College	21	38.6265	-90.3369
Missouri School of Barbering & Hairstyling	21	38.7987	-90.325
Missouri Southern State University	13	37.0957	-94.4609
Missouri Tech	13	38.7681	-90.523
Missouri Valley College	33	39.1087	-93.1902
Missouri Western State University	13	39.7575	-94.7856
University of Missouri-Columbia	12	38.941	-92.3264
University of Missouri-Kansas City	11	39.0354	-94.578
Missouri University of Science and Technology	33	37.9559	-91.7759
University of Missouri-St Louis	21	38.7113	-90.3089
Moberly Area Community College	32	39.4186	-92.4551
Hillyard Technical Center	13	39.768	-94.8087
National Academy of Beauty Arts-St Louis	21	38.5235	-90.3627
Nazarene Theological Seminary	11	39.0108	-94.5665
Neosho Beauty College	32	36.8699	-94.3682
Northwest Technical School	33	40.3302	-94.8834
Truman State University	33	40.1882	-92.5805
Northwest Missouri State University	33	40.3527	-94.8843
Ozark Christian College	13	37.1052	-94.5109
College of the Ozarks	32	36.616	-93.2382
Park University	21	39.1895	-94.6771
Stevens Institute of Business & Arts	11	38.6327	-90.2011
Poplar Bluff Technical Career Center	33	36.7555	-90.3945
Ranken Technical College	11	38.6529	-90.249
Research College of Nursing	11	39.0087	-94.5581
Rockhurst University	11	39.0308	-94.5712
Rolla Technical Institute	33	37.9477	-91.7511
Everest College-Springfield	12	37.1817	-93.3047
Saint Louis University	11	38.6365	-90.2334
Salem College of Hairstyling	33	37.9444	-91.7849
Sanford-Brown College-Fenton	21	38.5247	-90.4763
American College of Hair Design Inc	33	38.6992	-93.2531
Sikeston Career and Technology Center	32	36.8751	-89.5693
Saint Louis Christian College	21	38.7758	-90.2946
St Louis College of Pharmacy	11	38.6372	-90.2604
Saint Louis Community College	11	38.6295	-90.2761
Saint Paul School of Theology	21	39.093	-94.5214
Southwest Baptist University	32	37.6016	-93.4105
Missouri State University-West Plains	33	36.7296	-91.8578
Mercy Hospital Springfield-School of Radiologic Technology	12	37.1793	-93.2752
Saint Luke's College of Health Sciences	11	38.9775	-94.6074
St Louis College of Health Careers-St Louis	11	38.6316	-90.2606
State Fair Community College	33	38.6991	-93.2696
Stephens College	12	38.9506	-92.323
Southeast Missouri State University	13	37.3158	-89.5291
Missouri State University-Springfield	12	37.198	-93.2768
Three Rivers Community College	33	36.7751	-90.4302
North Central Missouri College	33	40.0778	-93.6182
Eldon Career Center	32	38.3495	-92.5826
Truman Medical Center School of Nurse Anesthesia	11	39.085	-94.5758
Kansas City University of Medicine and Biosciences	11	39.1076	-94.5614
Washington University in St Louis	21	38.6481	-90.3116
Webster University	21	38.5893	-90.3457
Wentworth Military Academy & Junior College	32	39.1871	-93.873
Westminster College	32	38.8478	-91.9543
William Jewell College	21	39.2478	-94.4121
William Woods University	32	38.8579	-91.9493
Academy of Cosmetology	33	45.6805	-111.0398
Blackfeet Community College	41	48.5893	-112.9455
Butte Academy of Beauty Culture	33	46.0121	-112.5402
Highlands College of Montana Tech	33	45.9377	-112.5092
Crevier's School of Cosmetology	33	48.1973	-114.316
Carroll College	33	46.6022	-112.0405
Dawson Community College	33	47.0852	-104.7252
Chief Dull Knife College	43	45.6256	-106.6646
Montana State University-Billings	12	45.7969	-108.523
Flathead Valley Community College	41	48.2274	-114.3273
Aaniiih Nakoda College	43	48.5331	-108.7836
Fort Peck Community College	33	48.1136	-105.193
Great Falls College Montana State University	13	47.4856	-111.2696
University of Great Falls	13	47.4903	-111.2702
Helena College University of Montana	33	46.5954	-112.016
Little Big Horn College	43	45.6038	-107.4554
Miles Community College	33	46.4046	-105.8266
Modern Beauty School Inc	13	46.8516	-114.0141
Montana Tech of the University of Montana	33	46.0122	-112.557
Montana State University	33	45.6668	-111.0499
The University of Montana	13	46.8611	-113.9829
Montana State University-Northern	33	48.5411	-109.6865
Rocky Mountain College	12	45.7968	-108.5539
Salish Kootenai College	42	47.5969	-114.1072
The University of Montana-Western	33	45.2083	-112.6393
La'James International College	32	41.4458	-96.482
Bellevue University	21	41.1502	-95.9176
Clarkson College	11	41.2592	-95.9772
Bryan College of Health Sciences	11	40.7968	-96.6515
Central Community College	13	40.8896	-98.3725
Chadron State College	33	42.8207	-103.0028
College of Hair Design-Downtown	11	40.8112	-96.7051
Concordia University-Nebraska	32	40.9149	-97.0891
Creighton University	11	41.2653	-95.947
Doane College-Crete	32	40.6231	-96.9497
Grace University	11	41.2447	-95.9279
Hastings College	32	40.5904	-98.3736
Alegent Creighton Health School of Radiologic Technology	11	41.322	-96.0197
Joseph's College	11	40.8135	-96.6885
University of Nebraska at Kearney	33	40.7008	-99.0982
Kaplan University-Lincoln Campus	11	40.8089	-96.6942
Nebraska Methodist College of Nursing & Allied Health	11	41.266	-96.0485
Metropolitan Community College Area	11	41.3055	-95.9587
Mid-Plains Community College	33	41.1104	-100.7484
Midland University	32	41.4368	-96.4884
Nebraska Christian College	41	41.1231	-96.0944
University of Nebraska at Omaha	11	41.2577	-96.0108
Kaplan University-Omaha Campus	11	41.3095	-96.0728
Nebraska Indian Community College	42	42.0748	-96.3177
University of Nebraska Medical Center	11	41.2551	-95.9763
Nebraska Wesleyan University	11	40.8388	-96.6484
University of Nebraska-Lincoln	11	40.8223	-96.7022
Northeast Community College	33	42.0493	-97.3976
Peru State College	42	40.4747	-95.7327
College of Saint Mary	11	41.2409	-96.0202
Southeast Community College Area	11	40.8108	-96.6282
Union College	11	40.7748	-96.6511
Vatterott College-Spring Valley	11	41.2172	-96.0979
Nebraska College of Technical Agriculture	43	40.6355	-100.5102
Wayne State College	32	42.2416	-97.0142
Regional West Medical Center School of Radiologic Technology	33	41.8833	-103.6688
Western Nebraska Community College	33	41.8757	-103.6425
York College	33	40.8675	-97.5793
Academy of Hair Design-Las Vegas	11	36.1601	-115.1918
Career College of Northern Nevada	12	39.511	-119.7507
College of Southern Nevada	11	36.1584	-115.2338
The Art Institute of Las Vegas	11	36.0258	-115.0883
Everest College-Henderson	11	36.0378	-115.0461
Marinello Schools of Beauty-Las Vegas	11	36.1739	-115.0645
University of Nevada-Las Vegas	12	36.107	-115.1412
University of Nevada-Reno	12	39.5528	-119.8256
Great Basin College	33	40.8424	-115.7673
Marinello Schools of Beauty-Reno	12	39.486	-119.7608
Morrison University	12	39.5248	-119.822
Sierra Nevada College	32	39.2459	-119.9395
Truckee Meadows Community College	12	39.5722	-119.7953
Western Nevada College	13	39.1862	-119.7904
Colby-Sawyer College	42	43.4117	-71.9758
Continental Academie of Hair Design-Hudson	22	42.7766	-71.4447
Daniel Webster College	13	42.7764	-71.5143
Dartmouth College	33	43.7137	-72.2603
Empire Beauty School-Laconia	32	43.5261	-71.4689
Empire Beauty School-Somersworth	23	43.2609	-70.9046
Franklin Pierce University	41	42.7823	-72.0579
University of New Hampshire-School of Law	31	43.2074	-71.5452
Mount Washington College	12	42.9716	-71.4707
Keene Beauty Academy	32	42.9487	-72.3203
Lebanon College	33	43.6426	-72.2528
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School	12	42.9854	-71.4622
New England College	42	43.177	-71.8229
New England School of Hair Design Inc	33	43.6441	-72.3057
Southern New Hampshire University	12	43.0399	-71.4539
New Hampshire Institute for Therapeutic Arts	22	42.7456	-71.4267
University of New Hampshire-Main Campus	23	43.1342	-70.9345
Keene State College	32	42.926	-72.2814
University of New Hampshire at Manchester	12	42.9903	-71.4688
Plymouth State University	33	43.7574	-71.6912
NHTI-Concord's Community College	31	43.2236	-71.532
White Mountains Community College	33	44.5035	-71.1585
River Valley Community College	41	43.3994	-72.3333
Lakes Region Community College	32	43.5183	-71.4639
Manchester Community College	12	43.0198	-71.4835
Nashua Community College	13	42.7946	-71.5235
Great Bay Community College	23	43.0447	-70.8903
Paul Mitchell the School-Portsmouth	23	43.0758	-70.7599
Rivier University	13	42.7383	-71.4555
Saint Anselm College	22	42.9851	-71.5082
St Joseph School of Nursing	13	42.75	-71.479
Granite State College	31	43.1903	-71.5064
Thomas More College of Liberal Arts	22	42.8077	-71.4836
Eastwick College-Hackensack	21	40.8858	-74.0405
Atlantic Cape Community College	41	39.4614	-74.6823
Fortis Institute-Wayne	21	40.882	-74.2123
Bergen Community College	21	40.9537	-74.0941
Berkeley College-Woodland Park	21	40.9021	-74.1888
Beth Medrash Govoha	13	40.0955	-74.2208
Bloomfield College	21	40.7942	-74.1959
Brookdale Community College	41	40.3249	-74.1327
Burlington County College	41	39.9644	-74.6455
Caldwell College	21	40.8343	-74.2737
Camden County College	21	39.7851	-75.0405
Centenary College	21	40.8487	-74.8328
Adult and Continuing Education-BCTS	21	40.9018	-74.034
Anthem Institute-Parsippany	21	40.8614	-74.3814
Lincoln Technical Institute-Edison	21	40.5723	-74.3451
Fox Institute of Business-Clifton	21	40.8734	-74.1302
Empire Beauty School-Ocean	21	40.2506	-74.041
Cooper Health System Center for Allied Health Education	13	39.9415	-75.1165
County College of Morris	21	40.8534	-74.5775
Cumberland County College	41	39.4384	-75.0547
Divers Academy International	21	39.7478	-74.9985
Drake College of Business-Elizabeth	21	40.6656	-74.2152
Drew University	21	40.757	-74.4258
duCret School of Arts	21	40.605	-74.4174
Lincoln Technical Institute-South Plainfield	21	40.5521	-74.4199
Essex County College	11	40.7384	-74.1782
Empire Beauty School-Union	21	40.6848	-74.2392
Fairleigh Dickinson University-Metropolitan Campus	21	40.8962	-74.03
Felician College	21	40.8673	-74.0965
Fairleigh Dickinson University-College at Florham	21	40.7774	-74.4354
Hohokus School of Trade and Technical Sciences	21	40.9094	-74.1526
Georgian Court University	13	40.0987	-74.2262
Rowan University	21	39.7098	-75.118
Gloucester County College	21	39.7825	-75.1217
Empire Beauty School-Cherry Hill	21	39.9419	-75.0208
Harris School of Business-Cherry Hill Campus	21	39.9425	-75.0252
Eastwick College-Ramsey	21	41.0579	-74.1315
Holy Name Medical Center School of Nursing	21	40.8824	-74.0112
